Gene	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
TRPC4AP	64.90449738193692	79.98061738748056	60.62501666994338	78.57834225288815	49.53525117937071	88.24370004346922	79.40544675260307
TRPC5	0.0027406502961952	0.0	0.0052595807388008	0.0200096042664018	0.0	0.0327825034834788	0.0
TRPC6	0.4025618575842882	1.941072975703796	6.61796897891896	3.1594677017118102	1.6592167487984586	3.1210521538839555	0.4818282706264239
TRPM1	0.0091652936149099	0.0	0.0	0.0818305437999762	0.1051704771310513	0.0	0.0
TRPM2	3.7159850665102248	5.149042262855171	6.44817384077064	7.319623218073375	5.870504574421022	6.9679012030779806	6.981325055333262
TRPM3	0.012627041412045	0.0816404235794877	0.0058087933676018	0.0608636306780054	0.1455633227995276	0.0416040760475285	0.032998981321294
TRPM4	37.18100555761918	13.35928092484362	12.251202982352568	10.229441048169663	8.800368577755945	12.811363508006067	6.240649192311432
TRPM5	0.0138740757651778	0.0691565217498497	0.5986508595296777	0.2865560041211146	0.1821983617396392	0.1382052066857275	1.2596892713954469e-05
TRPM6	0.0350082252657114	0.4594584128590217	0.195760469337696	0.4322554107575157	0.1077808436469037	0.4137445587311565	0.261632032076102
TRPM7	13.725911778466385	18.18793342682706	8.67958780063663	19.4172239587304	7.67989224359212	27.879775669180155	10.213943021521173
TRPM8	0.0568092073442213	0.0	8.346586224903381e-09	0.0	0.0	0.0	1.6271501704863014
TRPS1	4.548121797406956	13.683237703043105	5.697728478299807	13.9032627880625	7.592831469625503	11.219031350804366	10.990852481957177
TRPT1	23.2238975601892	27.8073933319214	15.668336963718732	21.16945756172014	11.845337924686484	22.526094650963035	31.68193255598361
TRPV1	1.8929779989337576	1.245370315297334	0.6835679318358787	2.624786896748037	1.3350289810312093	3.216890520301246	2.976533729004786
TRPV2	13.341338182677603	28.40796929850768	25.128472941498057	59.04109156176939	114.75148685484427	27.22647622642702	41.40010499985756
TRPV3	0.7121181159622263	2.0118079000169504	0.284173792775547	2.3397920255126725	0.0805795071458137	1.4094747762442956	0.185626779783446
TRPV4	2.810855621714812	9.074991641996798	3.0808138622821093	6.551648473134185	5.091576738527817	10.837890535537476	2.568085689098329
TRPV5	0.0223941666459026	0.0445621054976493	0.0160205653343778	0.0145195683041829	0.2203982755666908	0.0334503146477739	0.1846949507002332
TRPV6	0.0845865591918665	0.3310075052092184	0.1912276417742692	0.5111844570582185	0.0	0.4062427258341429	0.0420562466029311
TRRAP	14.697060468124947	7.13357934707768	5.173613883830893	7.331547756734293	0.9107591823101574	12.519438956986074	6.844420974843402
TRUB1	15.438186009775848	9.86606805907927	7.205155329875013	4.794558080708266	2.7476759613642128	12.51912813028638	5.74998758160149
TRUB2	4.440348678645081	3.2298959271270853	7.455373317294017	3.4487801313301825	2.806277915012853	5.458019713304176	5.479430426753863
TSACC	8.792384702172612	1.0495807910439914	1.7004252392726007	0.6697195156565204	0.1922332237165124	3.587996925261649	1.648735339107578
TSC1	7.316115816778443	15.42932329067384	7.692924379664885	11.069787449220176	4.619232185271278	20.835323643912908	9.945261962884317
TSC2	40.025810469046014	17.430096245150494	24.78434395783751	17.68148012669471	8.120136764929093	28.072779623022143	23.32876902136341
TSC22D1	142.7941260992369	292.1890155478676	359.9637815576985	169.1295403876091	242.0251429554293	237.7069532416135	124.22500536508092
TSC22D2	10.149110590539104	19.306457227560863	24.681594537777663	18.907706372667786	14.117759932435591	18.788794063169668	6.853547553519896
TSC22D3	1129.860114978445	1116.4629230023593	1158.5038598514757	3221.130823301935	807.4097404038499	2546.0314917354176	638.6987049955903
TSC22D4	80.32263334216582	50.3001989945601	52.7410471090508	59.23161972484958	36.860386061137405	49.74625915271936	56.09162852520421
TSEN15	53.35382010067462	13.456218159541152	30.675259971266843	18.18570280367895	17.679869518394188	26.065985316446238	27.876621534830125
TSEN2	3.970223970428677	0.9647827000113178	1.1509264251324702	1.7944327061429726	1.7213624515038206	2.248118213552395	2.064823621448441
TSEN34	87.07051163088734	59.375003628580686	57.51768415223786	40.34498809102129	49.75981319809667	49.59231834436157	72.39737984968603
TSEN54	44.297624285549794	16.041740553325905	18.68273954863236	40.72334132140679	8.56728090002164	28.76157158954673	24.1577567378542
TSFM	41.21469257271992	18.082212188703576	19.337337549187968	14.110024912293463	17.486788068574892	22.83306127158141	29.97261593268138
TSG101	54.05348099540296	43.62630869820728	50.81931733906322	45.68608908971319	44.86327036199769	52.39197716718751	52.65117838128555
TSGA10	0.7634675913732845	0.7283451705853052	0.7956250234769469	2.8285736963208485	0.2323092516247014	8.937067994988912	0.3548386787709871
TSGA10IP	0.012885777287428	0.0990908090865185	0.0	0.0	0.0	0.0	0.0
TSGA13	0.0343192582442809	0.0	0.0183131956997873	0.0	0.0297517961000586	0.0	0.0
TSHB	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSHR	1.2931078074456064	0.0614354220605347	3.38281694223355	0.9174381828722212	0.0607137179907644	0.4188051754356993	2.2296879747770983
TSHZ1	8.968380559699655	12.107021999932703	18.56081890937825	15.438310733471203	6.897835363819102	20.79832753003664	12.90004093525929
TSHZ2	0.7871050811794573	9.31299593886938	0.9254029213437244	1.0243755703534625	0.0048696523995016	9.827345598923412	2.8817928218976148
TSHZ3	0.5282653240907658	4.70475031527839	2.5541076534823053	1.1118991197076835	1.56965833589591	3.060551213215108	2.572922937807145
TSKS	0.2172853141154708	0.3046099640882073	0.1870602471175601	0.2341993817849425	1.8227908555144048	0.2721151769150418	0.0
TSKU	183.21781494557789	19.39903833333096	23.96868865715256	2.5225628274209746	15.379368040104731	5.5342499614044245	9.017750976207529
TSLP	0.4703173795746904	2.4155681737253683	0.3440880607919223	0.7955442344166489	0.7563961434148573	11.226225046235438	0.5713281454226253
TSN	34.83815836849994	11.36826164897174	13.304716529613554	11.246416672958944	7.990836151922671	20.052910709495087	10.286069994777556
TSNARE1	2.4467641089226086	10.14117783102878	13.029878679626016	15.546657348185995	10.805914981776592	15.042302718399688	13.38768375456085
TSNAX	27.644418478530397	24.269836529282927	39.97552032430721	20.640350655282305	19.325746811611985	33.95937107519981	19.748917192592693
TSNAXIP1	0.2942207215790152	0.7146721204084219	0.2787663097005471	1.948323765981864	0.2899462806550352	8.096386676324522	0.1977613491834982
